target_id,msa_depth,msa_avg_len,msa_first_len,gap_fraction,status
1AQ3_S,6,19.0,19,0.0,OK
1A4T_A,1,15.0,15,0.0,OK
1AM0_A,1,16.0,16,0.0,OK
1AW4_A,12,27.0,27,0.06481481481481481,OK
1AUD_B,11,30.0,30,0.08484848484848485,OK
1ATW_A,1,15.0,15,0.0,OK
1BR3_B,5,28.0,28,0.014285714285714285,OK
1BAU_A,7,23.0,23,0.006211180124223602,OK
1EA4_Y,11,21.0,21,0.0,OK
1D16_A,3,16.0,16,0.0,OK
1BYJ_A,43,27.0,27,0.05512489233419466,OK
1E4P_A,10,24.0,24,0.020833333333333332,OK
1EA4_Z,8,21.0,21,0.0,OK
1AJU_A,253,30.0,30,0.037944664031620556,OK
1BZ2_A,338,17.0,17,0.0,OK
1EGK_B,7,34.0,34,0.12605042016806722,OK
1EC6_D,5,20.0,20,0.0,OK
1BGZ_A,8,23.0,23,0.0,OK
1EBS_A,17,29.0,29,0.036511156186612576,OK
1ESH_A,1,13.0,13,0.0,OK
1AJF_A,4,18.0,18,0.0,OK
1EKZ_B,154,30.0,30,0.13593073593073593,OK
1ESY_A,3,19.0,19,0.0,OK
1ET4_B,2,35.0,35,0.0,OK
1E95_A,92,36.0,36,0.13285024154589373,OK
1ETF_A,33,34.0,34,0.044563279857397504,OK
1EBR_A,430,30.0,30,0.06581395348837209,OK
1A51_A,3352,41.0,41,0.07389108795622562,OK
1CQ5_A,2851,43.0,43,0.023932850978440858,OK
1D6K_B,1523,37.0,37,0.08248300828734184,OK
1B01_F,2,19.0,19,0.0,OK
1E7K_D,2651,22.0,22,0.0037035766949007234,OK
1F1T_A,15,38.0,38,0.03684210526315789,OK
1EXY_A,25,33.0,33,0.06060606060606061,OK
1F5U_A,15,18.0,18,0.0,OK
1F85_A,1,14.0,14,0.0,OK
1F6U_B,3,19.0,19,0.0,OK
1F84_A,129,29.0,29,0.09141940657578188,OK
1F9L_A,39,22.0,22,0.0011655011655011655,OK
1HLX_A,11,20.0,20,0.0,OK
1FOQ_E,13,120.0,120,0.12051282051282051,OK
1FMN_A,5,35.0,35,0.19428571428571428,OK
1F6X_A,46,27.0,27,0.08856682769726248,OK
1HOQ_A,1,12.0,12,0.0,OK
1F7U_B,64,64.0,64,0.0390625,OK
1HS1_A,1,13.0,13,0.0,OK
1HS2_A,1,13.0,13,0.0,OK
1HS4_A,1,13.0,13,0.0,OK
1HS8_A,1,13.0,13,0.0,OK
1HS3_A,1,13.0,13,0.0,OK
1HMH_E,1219,34.0,34,0.12370313178593834,OK
1HWQ_A,34,30.0,30,0.06372549019607843,OK
1I3X_A,3,19.0,19,0.0,OK
1I46_A,1,13.0,13,0.0,OK
1I3Y_A,3,19.0,19,0.0,OK
1IDV_A,1,10.0,10,0.0,OK
1I4C_A,1,13.0,13,0.0,OK
1IBM_Y,10,15.0,15,0.0,OK
1I6U_C,87,37.0,37,0.21155638397017706,OK
1IE2_A,4,22.0,22,0.0,OK
1IKD_A,28,22.0,22,0.00974025974025974,OK
1IK1_A,1,14.0,14,0.0,OK
1JO7_A,42,31.0,31,0.15745007680491552,OK
1JP0_A,8,21.0,21,0.0,OK
1JBR_D,941,31.0,31,0.04600459360323609,OK
1JUR_A,12,22.0,22,0.045454545454545456,OK
1JBS_C,546,29.0,29,0.002147278009346975,OK
1JZC_A,1,13.0,13,0.0,OK
1JU7_A,1682,28.0,28,0.07826567012060472,OK
1HQ1_B,4713,49.0,49,0.05623178615812971,OK
1JBT_D,1159,29.0,29,0.0024694296510071106,OK
1K2G_A,2,22.0,22,0.0,OK
1K4B_A,1,14.0,14,0.0,OK
1K4A_A,3,14.0,14,0.0,OK
1JID_B,3858,29.0,29,0.03597540265637011,OK
1KIS_B,1,16.0,16,0.0,OK
1KIS_A,1,16.0,16,0.0,OK
1K8W_B,40,22.0,22,0.007954545454545454,OK
1K6G_A,2,22.0,22,0.0,OK
1GID_A,3655,158.0,158,0.14585014459124834,OK
1KH6_A,444,53.0,53,0.2143039265680775,OK
1KOG_N,146,37.0,37,0.021288411699370603,OK
1KPD_A,15,32.0,32,0.11875,OK
1KKS_A,908,24.0,24,0.03703193832599119,OK
1KOS_A,4,17.0,17,0.0,OK
1LU3_A,6,17.0,17,0.0,OK
1KPY_A,21,33.0,33,0.044733044733044736,OK
1HR2_B,4025,158.0,158,0.15690856199386743,OK
1L3D_A,36,28.0,28,0.031746031746031744,OK
1LUU_A,3,17.0,17,0.0,OK
1LUX_A,3,17.0,17,0.0,OK
1HR2_A,4025,158.0,158,0.15690856199386743,OK
