id,name,family,length,deposit,drfold_seen,af3_seen,drfold2_rmsd_vs_crystal,af3_rmsd_default,af3_rmsd_best,af3_calib_spearman,af3_calib_p
7QR3,CPEB3 ribozyme (R1108),ribozyme,69,2021-12,yes,borderline,3.7259076949431043,6.53544232289708,5.350636270973128,0.08308366824990866,0.49732068398342766
9LJN,Guanine-II riboswitch,riboswitch,71,2025-01,no,no,4.057582904091776,6.552955271173602,6.091435753267368,-0.27582159624413144,0.01990035517916267
9UW0,2'-dG-III riboswitch,riboswitch,63,2025-05,no,no,2.1444770757869103,10.052599030796364,9.329562406948513,-0.1976766513056836,0.12043308517142433
9HRD,Class V GTP aptamer (tetramer),aptamer,67,2024-12,no,no,6.003554008205143,8.703021761637455,8.022056508436883,-0.5806129778912923,2.598942570102528e-07
12CI,Dopamine aptamer DGR-1A (dimer),aptamer,82,2026-03,no,no,16.816117665106976,10.048905634097826,10.048905634097826,-0.5464568300301478,1.0916081554574282e-07
9LKE,Guanine-II + hypoxanthine,riboswitch,70,2025-01,no,no,3.988850023167391,,,,
9LKU,2'-dG-III + Guanosine,riboswitch,65,2025-01,no,no,2.055129508635093,,,,
9HRF,Class V GTP UU variant (monomer),aptamer,70,2024-12,no,no,7.71751518626252,,,,
9MFH,env2 cobalamin riboswitch (apo),riboswitch,76,2024-12,no,no,6.762560095527799,,,,
9DE7,HIV-1 TAR full-length,viral RNA,57,2024-08,no,no,3.1604510406969566,,,,
9J4N,E. coli Leucine tRNA,tRNA,81,2024-08,no,no,3.584917128580926,,,,
9E9O,SARS-CoV-2 SL5,viral RNA,101,2024-11,no,no,4.419875493837338,,,,
